iter	RMSE
0	20549263.67
1	19422875.52
2	18452955.62
3	17611327.19
4	16894703.83
5	16289283.64
6	15763788.86
7	15320782.69
8	14944948.61
9	14626376.34
10	14356846.34
11	14129056.23
12	13938367.86
13	13772303.74
14	13633585.63
15	13508015.52
16	13408647.38
17	13313068.07
18	13227191.81
19	13149958.61
20	13092906.84
21	13034226
22	12988713.27
23	12934134.06
24	12888593.83
25	12847585.02
26	12815218.15
27	12782532.74
28	12757032.35
29	12733591.2
30	12705125
31	12682405.94
32	12647601.05
33	12613500.21
34	12595176.38
35	12564203.59
36	12540329.75
37	12518738.62
38	12496322.01
39	12477789.28
40	12452575.94
41	12438022.69
42	12415038.5
43	12397898.4
44	12383471.09
45	12357128.68
46	12340195.21
47	12324529.46
48	12312222.03
49	12290711.82
50	12263437.05
51	12248229.35
52	12228691.28
53	12211988.16
54	12193204.68
55	12173705.05
56	12159199.98
57	12136729.12
58	12125750.46
59	12109410.52
60	12096474.54
61	12077325.18
62	12062964.45
63	12039424.49
64	12018567.38
65	12008149.74
66	11983917.3
67	11971910.94
68	11958997.99
69	11938659.99
70	11927809.92
71	11914471.9
72	11905705.65
73	11893484.43
74	11880872.78
75	11867089.26
76	11848030.97
77	11829876.05
78	11819641
79	11808211.78
80	11791137.44
81	11777582.29
82	11762260.95
83	11748678.36
84	11734864.45
85	11724209.9
86	11715547.33
87	11696544.08
88	11682016.34
89	11672272.24
90	11652608.11
91	11637329.27
92	11622860.87
93	11608392.51
94	11593192.86
95	11577918.03
96	11566767.48
97	11551321.01
98	11536873.2
99	11524210.16
100	11511503.65
101	11496416.17
102	11486861.36
103	11473348.95
104	11459857.91
105	11441319.77
106	11420487.44
107	11402835.4
108	11394519.7
109	11380933.71
110	11370205.65
111	11355138.16
112	11339443.85
113	11322565.9
114	11312035.12
115	11298704.5
116	11288887.13
117	11277472.46
118	11264533.98
119	11240961.31
120	11231508.46
121	11215396.8
122	11198395.25
123	11188090.84
124	11179308.44
125	11166185.1
126	11151432.56
127	11138037.63
128	11117735.59
129	11098296.7
130	11088598.89
131	11075138.87
132	11062571.07
133	11045675.85
134	11030727.42
135	11022147.92
136	11006569.76
137	10992776.53
138	10982640.75
139	10967617.06
140	10955999.2
141	10943596.94
142	10929069.4
143	10911676.18
144	10895795.17
145	10884568.4
146	10870078.77
147	10855325.37
148	10843610.66
149	10834216.56
150	10823111.36
151	10813673.28
152	10802330.48
153	10793606.81
154	10786865.19
155	10770766.36
156	10755746.72
157	10740314.61
158	10729515.49
159	10715012.24
160	10701498.41
161	10691681.48
162	10679460.36
163	10669704.69
164	10656735.54
165	10644490.84
166	10633919.01
167	10622233.44
168	10609317.35
169	10594832.91
170	10583202.57
171	10577349.43
172	10567312.17
173	10555384.21
174	10545720.67
175	10534742.55
176	10522806.37
177	10509725.77
178	10502587.55
179	10494206.41
180	10476003.62
181	10463056.2
182	10449725.08
183	10438056.71
184	10426776.21
185	10415895.01
186	10401416.17
187	10391220.49
188	10373611.92
189	10363275.75
190	10351609.31
191	10341078.39
192	10329894.03
193	10315307.44
194	10302653.58
195	10294224.46
196	10282854.38
197	10271337.93
198	10259842.64
199	10249207.33
200	10242321.61
201	10231183.12
202	10221610.21
203	10211772
204	10205427.52
205	10191390.75
206	10180607.05
207	10170167.36
208	10160195.56
209	10154689.05
210	10140453.47
211	10131577.32
212	10118701.33
213	10107524.01
214	10100849.52
215	10091052.41
216	10079670.75
217	10070496.43
218	10057030.29
219	10046890.53
220	10039683.7
221	10023764.98
222	10010751.24
223	9995848.919
224	9984201.718
225	9975794.076
226	9968188.428
227	9954038.96
228	9940624.856
229	9930098.182
230	9923201.612
231	9913641.079
232	9898745.863
233	9886873.333
234	9877831.697
235	9872295.423
236	9855671.553
237	9843936.531
238	9835921.555
239	9823084.896
240	9809919.887
241	9801449.045
242	9785497.737
243	9773369.375
244	9761131.165
245	9748394.054
246	9738075.663
247	9732125.329
248	9723590.363
249	9714432.41
250	9702968.366
251	9696782.769
252	9685357.713
253	9676915.181
254	9664090.282
255	9656084.457
256	9645516.566
257	9634273.179
258	9617696.607
259	9607198.124
260	9596692.344
261	9583568.35
262	9571875.809
263	9565607.805
264	9555622.884
265	9548203.293
266	9540292.869
267	9529061.399
268	9519357.782
269	9511721.558
270	9501966.572
271	9492121.697
272	9478010.708
273	9471106.765
274	9461996.395
275	9453151.082
276	9445393.784
277	9437566.531
278	9429399.799
279	9415984.213
280	9404616.62
281	9397211.732
282	9386676.613
283	9375351.019
284	9364763.693
285	9355123.09
286	9343563.334
287	9333354.833
288	9324654.907
289	9312469.805
290	9307369.535
291	9296749.751
292	9283749.299
293	9270115.667
294	9263962.565
295	9256689.084
296	9244775.958
297	9236536.946
298	9226235.131
299	9213917.602
300	9204997.731
301	9194640.103
302	9186597.341
303	9178703.641
304	9167741.383
305	9160598.919
306	9152036.559
307	9141919.757
308	9135117.943
309	9128979.751
310	9119071.887
311	9109783.445
312	9100926.757
313	9087398.722
314	9078752.592
315	9071485.262
316	9064897.02
317	9057011.959
318	9046913.271
319	9040825.911
320	9030678.929
321	9022056.803
322	9013432.775
323	9005838.094
324	8997611.167
325	8990565.182
326	8981988.705
327	8969083.257
328	8961260.825
329	8951086.659
330	8943563.051
331	8934400.538
332	8924504.556
333	8918298.772
334	8908785.832
335	8900155.486
336	8890611.294
337	8884910.303
338	8875720.416
339	8867705.128
340	8862159.262
341	8851873.286
342	8845147.468
343	8837056.137
344	8823806.364
345	8816159.653
346	8806026.173
347	8795872.81
348	8784003.894
349	8777029.973
350	8766154.153
351	8754972.469
352	8746670.852
353	8737885.672
354	8726825.03
355	8719392.935
356	8708981.474
357	8699874.084
358	8689414.972
359	8683814.454
360	8675673.17
361	8669747.535
362	8658870.933
363	8649925.047
364	8640598.391
365	8632316.847
366	8625343.442
367	8619098.899
368	8609685.975
369	8598414.688
370	8592760.546
371	8581956.379
372	8575635.727
373	8564046.497
374	8553865.972
375	8544684.944
376	8533164.726
377	8523607.233
378	8518931.688
379	8510306.073
380	8501293.318
381	8493703.806
382	8486275.617
383	8479839.274
384	8467168.643
385	8458536.638
386	8451438.887
387	8441463.05
388	8432116.277
389	8423380.204
390	8414221.331
391	8407561.713
392	8398334.824
393	8387783.775
394	8382617.763
395	8375696.272
396	8370451.572
397	8361535.515
398	8350922.866
399	8345289.632
400	8338085.193
401	8329981.446
402	8324064.983
403	8315752.03
404	8306720.954
405	8297021.241
406	8289950.676
407	8280557.405
408	8272558.423
409	8264195.136
410	8255814.342
411	8248453.474
412	8242078.311
413	8234914.433
414	8227437.382
415	8218931.88
416	8215148.69
417	8209426.77
418	8203290.627
419	8191993.536
420	8184449.453
421	8174597.249
422	8168028.746
423	8161648.044
424	8153857.269
425	8148714.767
426	8142996.934
427	8131511.081
428	8122895.666
429	8114427.029
430	8105191.959
431	8099580.668
432	8093508.434
433	8085490.053
434	8079209.29
435	8071975.061
436	8065852.383
437	8059786.956
438	8052947.562
439	8045717.777
440	8039696.218
441	8034886.542
442	8028206.358
443	8021071.352
444	8011891.767
445	8005333.389
446	7997556.136
447	7991910.22
448	7987269.915
449	7980205.108
450	7974019.841
451	7967218.399
452	7958421.001
453	7952654.762
454	7945601.414
455	7939055.259
456	7931880.726
457	7925113.415
458	7916203.957
459	7909882.478
460	7904149.551
461	7895544.615
462	7888954.162
463	7882886.924
464	7879237.967
465	7872122.769
466	7864008.334
467	7855765.371
468	7847296.598
469	7840307.757
470	7834763.683
471	7828085.503
472	7818184.695
473	7812940.458
474	7806672.751
475	7801509.347
476	7796868.738
477	7789531.724
478	7781912.975
479	7777085.229
480	7772357.593
481	7764227.049
482	7757253.651
483	7751592.808
484	7743503.442
485	7736858.726
486	7729467.877
487	7722239.754
488	7713923.999
489	7708727.755
490	7701028.622
491	7696232.54
492	7690469.38
493	7684607.139
494	7678983.675
495	7672820.328
496	7664035.173
497	7658378.013
498	7650967.567
499	7646947.882
500	7638566.749
501	7634259.351
502	7625793.102
503	7621103.795
504	7617487.92
505	7614079.616
506	7608034.957
507	7602850.04
508	7595820.105
509	7590752.176
510	7585559.164
511	7577471.109
512	7573674.526
513	7564786.23
514	7560077.184
515	7554598.031
516	7548927.697
517	7542525.017
518	7535077.071
519	7527912.122
520	7521245.92
521	7515650.471
522	7511366.086
523	7505454.583
524	7499992.191
525	7491615.42
526	7484408.973
527	7477529.11
528	7471726.015
529	7465763.107
530	7457292.166
531	7449464.159
532	7445237.894
533	7434950.074
534	7431567.626
535	7422960.721
536	7414858.574
537	7408977.26
538	7401873.638
539	7396401.51
540	7390840.316
541	7386950.7
542	7381155.249
543	7375736.349
544	7371555.876
545	7365857.672
546	7360835.711
547	7355914.398
548	7348565.625
549	7343254.572
550	7333903.315
551	7325592.926
552	7318491.855
553	7313731.712
554	7307389.113
555	7300586.989
556	7295757.041
557	7290626.137
558	7286513.073
559	7280561.738
560	7275123.906
561	7271230.098
562	7266883.929
563	7260270.044
564	7253948.369
565	7248834.572
566	7245231.432
567	7239985.264
568	7234248.834
569	7225016.03
570	7217928.745
571	7214311.508
572	7208678.434
573	7200417.104
574	7195065.373
575	7190198.231
576	7184708.398
577	7176223.788
578	7170638.986
579	7165596.894
580	7161054.624
581	7156658.725
582	7152121.771
583	7146853.432
584	7139716.098
585	7135184.076
586	7128894.971
587	7121521.997
588	7115075.035
589	7109840.599
590	7103663.726
591	7096475.145
592	7091355.162
593	7086945.225
594	7082869.992
595	7079144.635
596	7072952.109
597	7067768.248
598	7065237.654
599	7060415.031
