iter	Passed	Remaining
0	84	84294
1	102	50932
2	119	39615
3	132	33002
4	144	28719
5	158	26205
6	178	25365
7	192	23859
8	206	22720
9	219	21687
10	236	21236
11	248	20481
12	263	20025
13	276	19494
14	289	18998
15	304	18728
16	317	18377
17	330	18036
18	345	17861
19	363	17792
20	379	17684
21	394	17546
22	415	17658
23	433	17624
24	450	17566
25	466	17468
26	486	17520
27	509	17674
28	547	18331
29	565	18296
30	585	18315
31	605	18303
32	622	18239
33	661	18784
34	681	18787
35	704	18854
36	735	19137
37	750	19011
38	771	19012
39	788	18914
40	810	18961
41	823	18792
42	837	18642
43	861	18717
44	885	18781
45	899	18662
46	914	18534
47	927	18390
48	941	18271
49	961	18269
50	976	18179
51	991	18074
52	1016	18163
53	1030	18058
54	1046	17984
55	1062	17919
56	1078	17845
57	1095	17788
58	1111	17734
59	1129	17698
60	1148	17676
61	1167	17660
62	1183	17597
63	1201	17576
64	1223	17599
65	1243	17592
66	1265	17618
67	1279	17532
68	1294	17467
69	1310	17405
70	1325	17343
71	1340	17283
72	1356	17230
73	1372	17179
74	1388	17129
75	1404	17070
76	1427	17116
77	1443	17060
78	1457	16989
79	1470	16915
80	1485	16849
81	1508	16885
82	1556	17191
83	1605	17504
84	1632	17573
85	1649	17534
86	1665	17479
87	1687	17487
88	1711	17520
89	1737	17566
90	1759	17577
91	1785	17620
92	1802	17581
93	1837	17713
94	1859	17717
95	1891	17816
96	1993	18554
97	2038	18763
98	2065	18801
99	2091	18827
100	2129	18951
101	2168	19093
102	2222	19357
103	2302	19838
104	2352	20055
105	2378	20063
106	2416	20171
107	2444	20189
108	2505	20483
109	2538	20542
110	2558	20490
111	2576	20431
112	2611	20498
113	2647	20573
114	2679	20617
115	2707	20634
116	2731	20612
117	2753	20584
118	2773	20529
119	2792	20479
120	2810	20414
121	2828	20352
122	2845	20285
123	2863	20230
124	2880	20165
125	2906	20157
126	2943	20232
127	2974	20266
128	2991	20197
129	3009	20138
130	3027	20084
131	3044	20021
132	3062	19960
133	3083	19927
134	3108	19916
135	3128	19877
136	3152	19859
137	3180	19864
138	3198	19813
139	3218	19770
140	3238	19728
141	3257	19680
142	3277	19640
143	3297	19599
144	3323	19594
145	3373	19730
146	3402	19745
147	3424	19713
148	3443	19669
149	3462	19623
150	3494	19647
151	3513	19601
152	3530	19543
153	3548	19495
154	3565	19439
155	3585	19399
156	3606	19364
157	3623	19307
158	3640	19253
159	3662	19228
160	3684	19201
161	3705	19166
162	3726	19133
163	3744	19088
164	3762	19040
165	3780	18993
166	3799	18950
167	3817	18907
168	3834	18855
169	3855	18824
170	3880	18810
171	3897	18760
172	3913	18709
173	3931	18661
174	3947	18609
175	3966	18571
176	3985	18530
177	4004	18492
178	4024	18459
179	4045	18429
180	4066	18400
181	4085	18363
182	4116	18376
183	4136	18345
184	4155	18308
185	4175	18273
186	4193	18231
187	4211	18191
188	4230	18151
189	4246	18105
190	4266	18072
191	4282	18021
192	4297	17970
193	4315	17930
194	4334	17893
195	4353	17859
196	4379	17851
197	4403	17834
198	4425	17812
199	4447	17789
200	4465	17751
201	4482	17707
202	4501	17671
203	4520	17639
204	4538	17599
205	4556	17562
206	4575	17527
207	4593	17489
208	4612	17458
209	4631	17421
210	4649	17387
211	4668	17351
212	4686	17315
213	4704	17280
214	4722	17242
215	4740	17207
216	4759	17172
217	4777	17135
218	4795	17102
219	4829	17122
220	4852	17102
221	4872	17076
222	4892	17048
223	4914	17023
224	4933	16993
225	4954	16969
226	4973	16937
227	5013	16975
228	5034	16949
229	5053	16917
230	5074	16892
231	5093	16861
232	5115	16839
233	5137	16817
234	5158	16791
235	5176	16757
236	5197	16734
237	5230	16747
